Sport,Sex,City,Year,G,S,B,avg_medalists,baseline_medalists
Shotput,Male,Rome,1960,19.68,19.11,19.01,19.27,16.74
Shotput,Male,Tokyo,1964,20.33,20.3,19.39,20.01,16.74
Shotput,Male,Mexico City,1968,20.54,20.12,20.09,20.25,16.74
Shotput,Male,Munich,1972,21.18,21.17,21.14,21.16,16.74
Shotput,Male,Montreal,1976,21.05,21.03,21,21.03,16.74
Shotput,Male,Moscow,1980,21.35,21.08,21.06,21.16,16.74
Shotput,Male,Los Angeles,1984,21.26,21.09,20.97,21.11,16.74
Shotput,Male,Seoul,1988,22.47,22.39,21.99,22.28,16.74
Shotput,Male,Barcelona,1992,21.7,20.96,20.94,21.2,16.74
Shotput,Male,Atlanta,1996,21.62,20.79,20.75,21.05,16.74
Shotput,Male,Sydney,2000,21.29,21.21,21.2,21.23,16.74
Shotput,Male,Athens,2004,21.16,21.07,20.84,21.02,16.74
Shotput,Male,Beijing,2008,21.51,21.09,21.04,21.21,16.74
Shotput,Male,London,2012,21.89,21.86,21.23,21.66,16.74
Shotput,Male,Rio,2016,22.52,21.78,21.36,21.89,16.74
