City,Year,Event,Sex,Event_sex,G,S,B,WR at time,medal_avg_time,avg_full_field_3or5,avg_full_field_all_and_medalists,diff_medals_full_field,diff_wr_medals,diff_wr_full_field
London,1948,400 meters,male,400 Meter Men,46.2,46.4,46.9,,46.50,48.43,47.47,1.93,,
Helsinki,1952,400 meters,male,400 Meter Men,45.9,45.9,46.8,,46.20,47.03,46.62,0.83,,
Melbourne,1956,400 meters,male,400 Meter Men,46.7,46.8,47,,46.83,47.80,47.32,0.97,,
Rome,1960,400 meters,male,400 Meter Men,44.9,44.9,45.5,,45.10,45.80,45.45,0.70,,
Tokyo,1964,400 meters,male,400 Meter Men,45.1,45.2,45.6,,45.30,46.16,45.84,0.86,,
Mexico City,1968,400 meters,male,400 Meter Men,43.8,43.9,44.4,,44.03,45.74,45.10,1.71,,
Munich,1972,400 meters,male,400 Meter Men,44.66,44.8,44.92,,44.79,45.65,45.28,0.86,,
Montreal,1976,400 meters,male,400 Meter Men,44.26,44.4,44.95,,44.54,45.38,45.06,0.84,,
Moscow,1980,400 meters,male,400 Meter Men,44.6,44.84,44.87,43.86,44.77,45.53,45.24,0.76,0.91,1.67
Los Angeles,1984,400 meters,male,400 Meter Men,44.27,44.54,44.71,43.86,44.51,44.95,44.76,0.44,0.65,1.09
Seoul,1988,400 meters,male,400 Meter Men,43.87,45.93,44.09,43.29,44.63,44.84,44.76,0.21,1.34,1.55
Barcelona,1992,400 meters,male,400 Meter Men,43.5,44.21,44.24,43.29,43.98,44.76,44.47,0.78,0.69,1.47
Atlanta,1996,400 meters,male,400 Meter Men,43.49,44.41,44.53,43.29,44.14,44.79,44.51,0.64,0.85,1.50
Sydney,2000,400 meters,male,400 Meter Men,43.84,44.4,44.7,43.18,44.31,45.24,44.84,0.93,1.13,2.06
Athens,2004,400 meters,male,400 Meter Men,44,44.16,44.42,43.18,44.19,44.95,44.67,0.75,1.01,1.77
Beijing,2008,400 meters,male,400 Meter Men,43.75,44.74,44.8,43.18,44.43,45.14,44.87,0.71,1.25,1.96
London,2012,400 meters,male,400 Meter Men,43.94,44.46,44.52,43.18,44.31,44.91,44.68,0.60,1.13,1.73
Rio,2016,400 meters,male,400 Meter Men,43.03,43.76,43.85,43.18,43.55,44.34,44.04,0.79,0.37,1.16
