Sport,Sex,City,Year,G,S,B,avg_medalists,baseline_medalists
Discus,Male,Rio,2016,68.37,67.55,67.05,67.66,47.22
Discus,Male,London,2012,68.27,68.18,68.03,68.16,47.22
Discus,Male,Beijing,2008,68.82,67.82,67.79,68.14,47.22
Discus,Male,Athens,2004,69.89,67.04,66.66,67.86,47.22
Discus,Male,Sydney,2000,69.3,68.5,68.19,68.66,47.22
Discus,Male,Atlanta,1996,69.4,66.6,65.8,67.27,47.22
Discus,Male,Barcelona,1992,65.12,64.94,64.12,64.73,47.22
Discus,Male,Seoul,1988,68.82,67.48,67.38,67.89,47.22
Discus,Male,Los Angeles,1984,66.6,66.3,65.46,66.12,47.22
Discus,Male,Moscow,1980,66.64,66.38,66.32,66.45,47.22
Discus,Male,Montreal,1976,67.5,66.22,65.7,66.47,47.22
Discus,Male,Munich,1972,64.4,63.5,63.4,63.77,47.22
Discus,Male,Mexico City,1968,64.78,63.08,62.92,63.59,47.22
Discus,Male,Tokyo,1964,61,60.52,59.49,60.34,47.22
Discus,Male,Rome,1960,59.18,58.02,57.16,58.12,47.22
