Sport,Sex,City,Year,G,S,B,avg_medalists,baseline_medalists
Discus,Female,Rome,1960,55.1,52.59,52.36,53.35,37.54
Discus,Female,Tokyo,1964,57.27,57.21,56.97,57.15,37.54
Discus,Female,Mexico City,1968,58.28,57.76,54.9,56.98,37.54
Discus,Female,Munich,1972,66.62,65.06,64.34,65.34,37.54
Discus,Female,Montreal,1976,69,67.3,66.84,67.71,37.54
Discus,Female,Moscow,1980,69.96,67.9,67.4,68.42,37.54
Discus,Female,Los Angeles,1984,65.36,64.86,63.64,64.62,37.54
Discus,Female,Seoul,1988,72.3,71.88,69.74,71.31,37.54
Discus,Female,Barcelona,1992,70.06,67.78,66.24,68.03,37.54
Discus,Female,Atlanta,1996,69.66,66.48,65.64,67.26,37.54
Discus,Female,Sydney,2000,68.4,65.71,65.2,66.44,37.54
Discus,Female,Athens,2004,67.02,66.68,66.08,66.59,37.54
Discus,Female,Beijing,2008,64.74,62.59,62.2,63.18,37.54
Discus,Female,London,2012,69.11,67.22,66.38,67.57,37.54
Discus,Female,Rio,2016,69.21,66.73,65.34,67.09,37.54
Discus,Male,Rio,2016,68.37,67.55,67.05,67.66,47.22
Discus,Male,London,2012,68.27,68.18,68.03,68.16,47.22
Discus,Male,Beijing,2008,68.82,67.82,67.79,68.14,47.22
Discus,Male,Athens,2004,69.89,67.04,66.66,67.86,47.22
Discus,Male,Sydney,2000,69.3,68.5,68.19,68.66,47.22
Discus,Male,Atlanta,1996,69.4,66.6,65.8,67.27,47.22
Discus,Male,Barcelona,1992,65.12,64.94,64.12,64.73,47.22
Discus,Male,Seoul,1988,68.82,67.48,67.38,67.89,47.22
Discus,Male,Los Angeles,1984,66.6,66.3,65.46,66.12,47.22
Discus,Male,Moscow,1980,66.64,66.38,66.32,66.45,47.22
Discus,Male,Montreal,1976,67.5,66.22,65.7,66.47,47.22
Discus,Male,Munich,1972,64.4,63.5,63.4,63.77,47.22
Discus,Male,Mexico City,1968,64.78,63.08,62.92,63.59,47.22
Discus,Male,Tokyo,1964,61,60.52,59.49,60.34,47.22
Discus,Male,Rome,1960,59.18,58.02,57.16,58.12,47.22
