Sport,Sex,City,Year,G,S,B,avg_medalists,baseline_medalists
Shotput,Female,Rome,1960,17.32,16.61,16.42,16.78,13.31
Shotput,Female,Tokyo,1964,18.14,17.61,17.45,17.73,13.31
Shotput,Female,Mexico City,1968,19.61,18.78,18.19,18.86,13.31
Shotput,Female,Munich,1972,21.03,20.22,19.35,20.2,13.31
Shotput,Female,Montreal,1976,21.16,20.96,20.67,20.93,13.31
Shotput,Female,Moscow,1980,22.41,21.42,21.2,21.68,13.31
Shotput,Female,Los Angeles,1984,20.48,20.47,19.19,20.05,13.31
Shotput,Female,Seoul,1988,22.24,21.07,21.06,21.46,13.31
Shotput,Female,Barcelona,1992,21.06,20.47,19.78,20.44,13.31
Shotput,Female,Atlanta,1996,20.56,19.88,19.35,19.93,13.31
Shotput,Female,Sydney,2000,20.56,19.92,19.62,20.03,13.31
Shotput,Female,Athens,2004,19.59,19.55,,19.57,13.31
Shotput,Female,Beijing,2008,20.56,19.5,19.2,19.75,13.31
Shotput,Female,London,2012,20.7,20.22,19.63,20.18,13.31
Shotput,Female,Rio,2016,20.63,20.42,19.87,20.31,13.31
Shotput,Male,Rome,1960,19.68,19.11,19.01,19.27,16.74
Shotput,Male,Tokyo,1964,20.33,20.3,19.39,20.01,16.74
Shotput,Male,Mexico City,1968,20.54,20.12,20.09,20.25,16.74
Shotput,Male,Munich,1972,21.18,21.17,21.14,21.16,16.74
Shotput,Male,Montreal,1976,21.05,21.03,21,21.03,16.74
Shotput,Male,Moscow,1980,21.35,21.08,21.06,21.16,16.74
Shotput,Male,Los Angeles,1984,21.26,21.09,20.97,21.11,16.74
Shotput,Male,Seoul,1988,22.47,22.39,21.99,22.28,16.74
Shotput,Male,Barcelona,1992,21.7,20.96,20.94,21.2,16.74
Shotput,Male,Atlanta,1996,21.62,20.79,20.75,21.05,16.74
Shotput,Male,Sydney,2000,21.29,21.21,21.2,21.23,16.74
Shotput,Male,Athens,2004,21.16,21.07,20.84,21.02,16.74
Shotput,Male,Beijing,2008,21.51,21.09,21.04,21.21,16.74
Shotput,Male,London,2012,21.89,21.86,21.23,21.66,16.74
Shotput,Male,Rio,2016,22.52,21.78,21.36,21.89,16.74
Discus,Female,Rome,1960,55.1,52.59,52.36,53.35,37.54
Discus,Female,Tokyo,1964,57.27,57.21,56.97,57.15,37.54
Discus,Female,Mexico City,1968,58.28,57.76,54.9,56.98,37.54
Discus,Female,Munich,1972,66.62,65.06,64.34,65.34,37.54
Discus,Female,Montreal,1976,69,67.3,66.84,67.71,37.54
Discus,Female,Moscow,1980,69.96,67.9,67.4,68.42,37.54
Discus,Female,Los Angeles,1984,65.36,64.86,63.64,64.62,37.54
Discus,Female,Seoul,1988,72.3,71.88,69.74,71.31,37.54
Discus,Female,Barcelona,1992,70.06,67.78,66.24,68.03,37.54
Discus,Female,Atlanta,1996,69.66,66.48,65.64,67.26,37.54
Discus,Female,Sydney,2000,68.4,65.71,65.2,66.44,37.54
Discus,Female,Athens,2004,67.02,66.68,66.08,66.59,37.54
Discus,Female,Beijing,2008,64.74,62.59,62.2,63.18,37.54
Discus,Female,London,2012,69.11,67.22,66.38,67.57,37.54
Discus,Female,Rio,2016,69.21,66.73,65.34,67.09,37.54
Discus,Male,Rio,2016,68.37,67.55,67.05,67.66,47.22
Discus,Male,London,2012,68.27,68.18,68.03,68.16,47.22
Discus,Male,Beijing,2008,68.82,67.82,67.79,68.14,47.22
Discus,Male,Athens,2004,69.89,67.04,66.66,67.86,47.22
Discus,Male,Sydney,2000,69.3,68.5,68.19,68.66,47.22
Discus,Male,Atlanta,1996,69.4,66.6,65.8,67.27,47.22
Discus,Male,Barcelona,1992,65.12,64.94,64.12,64.73,47.22
Discus,Male,Seoul,1988,68.82,67.48,67.38,67.89,47.22
Discus,Male,Los Angeles,1984,66.6,66.3,65.46,66.12,47.22
Discus,Male,Moscow,1980,66.64,66.38,66.32,66.45,47.22
Discus,Male,Montreal,1976,67.5,66.22,65.7,66.47,47.22
Discus,Male,Munich,1972,64.4,63.5,63.4,63.77,47.22
Discus,Male,Mexico City,1968,64.78,63.08,62.92,63.59,47.22
Discus,Male,Tokyo,1964,61,60.52,59.49,60.34,47.22
Discus,Male,Rome,1960,59.18,58.02,57.16,58.12,47.22
