City,Year,Event,Sex,Event_sex,G,S,B,WR at time,medal_avg_time,avg_full_field_3or5,avg_full_field_all_and_medalists,diff_medals_full_field,diff_wr_medals,diff_wr_full_field
London,1948,100 meters,male,100 Meter Men,10.3,10.4,10.6,,10.43,10.60,10.52,0.17,,
Helsinki,1952,100 meters,male,100 Meter Men,10.4,10.4,10.4,,10.40,10.47,10.43,0.07,,
Melbourne,1956,100 meters,male,100 Meter Men,10.5,10.5,10.6,,10.53,10.67,10.60,0.13,,
Rome,1960,100 meters,male,100 Meter Men,10.2,10.2,10.3,,10.23,10.33,10.28,0.10,,
Tokyo,1964,100 meters,male,100 Meter Men,10,10.2,10.2,,10.13,10.42,10.31,0.29,,
Mexico City,1968,100 meters,male,100 Meter Men,9.9,10,10,,9.97,10.12,10.06,0.15,,
Munich,1972,100 meters,male,100 Meter Men,10.14,10.24,10.33,,10.24,10.41,10.33,0.17,,
Montreal,1976,100 meters,male,100 Meter Men,10.06,10.08,10.14,,10.09,10.27,10.21,0.18,,
Moscow,1980,100 meters,male,100 Meter Men,10.25,10.25,10.39,9.95,10.30,10.45,10.39,0.15,0.35,0.50
Los Angeles,1984,100 meters,male,100 Meter Men,9.99,10.19,10.22,9.93,10.13,10.30,10.24,0.17,0.20,0.37
Seoul,1988,100 meters,male,100 Meter Men,9.92,9.97,9.99,9.92,9.96,10.63,10.34,0.67,0.04,0.71
Barcelona,1992,100 meters,male,100 Meter Men,9.96,10.02,10.04,9.86,10.01,10.16,10.10,0.15,0.15,0.30
Atlanta,1996,100 meters,male,100 Meter Men,9.95,10.19,10.24,9.86,10.13,10.31,10.24,0.19,0.27,0.45
Sydney,2000,100 meters,male,100 Meter Men,9.87,9.99,10.04,9.79,9.97,10.12,10.05,0.15,0.18,0.33
Athens,2004,100 meters,male,100 Meter Men,9.85,9.86,9.87,9.79,9.86,9.98,9.93,0.12,0.07,0.19
Beijing,2008,100 meters,male,100 Meter Men,9.69,9.89,9.91,9.72,9.83,9.98,9.92,0.15,0.11,0.26
London,2012,100 meters,male,100 Meter Men,9.63,9.75,9.79,9.58,9.72,10.32,10.10,0.59,0.14,0.74
Rio,2016,100 meters,male,100 Meter Men,9.81,9.89,9.91,9.58,9.87,9.99,9.94,0.12,0.29,0.41
London,1948,100 meters,female,100 Meter Women,11.9,12.2,12.2,,12.10,12.33,12.22,0.23,,
Helsinki,1952,100 meters,female,100 Meter Women,11.5,11.8,11.9,,11.73,11.97,11.85,0.23,,
Melbourne,1956,100 meters,female,100 Meter Women,11.5,11.7,11.7,,11.63,11.90,11.77,0.27,,
Rome,1960,100 meters,female,100 Meter Women,11,11.3,11.3,,11.20,11.50,11.35,0.30,,
Tokyo,1964,100 meters,female,100 Meter Women,11.4,11.6,11.6,,11.53,11.74,11.66,0.21,,
Mexico City,1968,100 meters,female,100 Meter Women,11,11.1,11.1,,11.07,11.38,11.26,0.31,,
Munich,1972,100 meters,female,100 Meter Women,10.07,11.23,11.24,,10.85,11.61,11.32,0.76,,
Montreal,1976,100 meters,female,100 Meter Women,11.08,11.13,11.17,,11.13,11.29,11.23,0.16,,
Moscow,1980,100 meters,female,100 Meter Women,11.06,11.07,11.14,10.88,11.09,11.25,11.19,0.16,0.21,0.37
Los Angeles,1984,100 meters,female,100 Meter Women,10.97,11.13,11.16,10.79,11.09,11.42,11.29,0.33,0.30,0.63
Seoul,1988,100 meters,female,100 Meter Women,10.54,10.83,10.85,10.49,10.74,11.14,10.99,0.40,0.25,0.65
Barcelona,1992,100 meters,female,100 Meter Women,10.82,10.83,10.84,10.49,10.83,11.04,10.96,0.21,0.34,0.55
Atlanta,1996,100 meters,female,100 Meter Women,10.94,10.94,10.96,10.49,10.95,11.09,11.03,0.14,0.46,0.60
Sydney,2000,100 meters,female,100 Meter Women,11.12,11.18,11.19,10.49,11.16,11.23,11.20,0.07,0.67,0.74
Athens,2004,100 meters,female,100 Meter Women,10.93,10.96,10.97,10.49,10.95,11.09,11.04,0.14,0.46,0.60
Beijing,2008,100 meters,female,100 Meter Women,10.78,10.98,11.98,10.49,11.25,11.13,11.17,-0.12,0.76,0.64
London,2012,100 meters,female,100 Meter Women,10.75,10.78,10.81,10.49,10.78,10.94,10.88,0.16,0.29,0.45
Rio,2016,100 meters,female,100 Meter Women,10.71,10.83,10.86,10.49,10.80,11.08,10.98,0.28,0.31,0.59
London,1948,200 meters,male,200 Meter Men,21.1,21.1,21.2,,21.13,21.37,21.25,0.23,,
Helsinki,1952,200 meters,male,200 Meter Men,20.7,20.8,20.8,,20.77,21.17,20.97,0.40,,
Melbourne,1956,200 meters,male,200 Meter Men,20.6,20.7,20.9,,20.73,21.20,20.97,0.47,,
Rome,1960,200 meters,male,200 Meter Men,20.5,20.6,20.7,,20.60,20.83,20.72,0.23,,
Tokyo,1964,200 meters,male,200 Meter Men,20.3,20.5,20.6,,20.47,20.80,20.68,0.33,,
Mexico City,1968,200 meters,male,200 Meter Men,19.8,20,20,,19.93,20.52,20.30,0.59,,
Munich,1972,200 meters,male,200 Meter Men,20,20.19,20.3,,20.16,20.64,20.46,0.47,,
Montreal,1976,200 meters,male,200 Meter Men,20.23,20.29,20.43,,20.32,20.87,20.63,0.55,,
Moscow,1980,200 meters,male,200 Meter Men,20.19,20.21,20.29,19.72,20.23,20.70,20.52,0.47,0.51,0.98
